Genus	Species	Subspecies	Ploidy Level (x)	DNA Amount1C (pg)	Original Reference
Hordeum	leporinum	var. leporinum Link. emend. Bowden	4	10.9	Bennett and Smith,1971
Hordeum	murinum		4	11.1	Bennett and Smith,1971
Hordeum	secalinum		4	11.2	Bennett and Smith,1971
Hordeum	arizonicum		6	12.34	Jakob et al.,2004
Hordeum	parodii		6	13.1	Jakob et al.,2004
Hordeum	lechleri		6	13.32	Jakob et al.,2004
Hordeum	brevisubulatum		6	13.46	Jakob et al.,2004
Hordeum	procerum		6	13.59	Jakob et al.,2004
Hordeum	brachyantherum	subsp. brachyantherum	6	14.45	Jakob et al.,2004
Hordeum	murinum	subsp. leporinum (Link) Arcang.	6	14.93	Jakob et al.,2004
Hordeum	leporinum	var. simulans Link. emend. Bowden	6	16.4	Bennett and Smith,1971
Humulus	japonicus	(female)	2	1.6	Grabowska-Joachimiak  et al.,2006
Humulus	japonica		-	1.7	Zonneveld et al.,2005
Humulus	lupulus	var. cordifolia	-	2.9	Zonneveld et al.,2005
Hydrangea	quercifolia		2	0.98	Cerbah et al.,2001
Hydrangea	seemannii		2	1.05	Cerbah et al.,2001
Hydrangea	integrifolia		-	1.13	Zonneveld et al.,2005
Hydrangea	arborescens		2	1.16	Cerbah et al.,2001
Hydrangea	anomala	subsp. petiolaris Sieb. & Zucc.	2	1.36	Cerbah et al.,2001
Hydrangea	heteromalla		2	1.48	Cerbah et al.,2001
Hydrangea	aspera	subsp. robusta  McClint. (=H. longipes Franch.)	2	1.51	Cerbah et al.,2001
Hydrangea	hirta		-	1.82	Zonneveld et al.,2005
Hydrangea	scandens	subsp. scandens McClint.	2	1.84	Cerbah et al.,2001
Hydrangea	paniculata		2	1.89	Cerbah et al.,2001
Hydrangea	macrophylla	subsp. serrata (Thunb.) Makino	2	1.93	Cerbah et al.,2001
Hydrangea	scandens	var. liukinensis	2	2.01	Zonneveld et al.,2005
Hydrangea	serrata		-	2.15	Zonneveld et al.,2005
Hydrangea	macrophylla	(diploid)	2	2.28	Zonneveld et al.,2005
Hydrangea	involucrata		2	2.5	Cerbah et al.,2001
Hydrangea	macrophylla	(triploid)	3	3.33	Zonneveld et al.,2005
Hypericum	hirsutum	NA	-	0.15	Hanson et al.,2002
Hypericum	thymifolium	NA	-	0.28	Bou Dagher-Kharrat et al.,2013
Hypericum	reflexum	NA	2	0.34	Suda et al.,2005
Hypericum	glandulosum	NA	2	0.34	Suda et al.,2005
Hypericum	perforatum	NA	2	0.39	Pustahija et al.,2013
Hypericum	grandifolium	NA	4	0.41	Suda et al.,2003
Hypericum	canariense	NA	4	0.51	Suda et al.,2003
Hypericum	barbatum	NA	2	0.61	Pustahija et al.,2013
Hypericum	perforatum	NA	4	0.78	Temsch et al.,2010
Iberis	sempervirens	NA	-	0.56	Lysák et al.,2009
Iberis	gibraltarica	NA	2	0.57	Lysák et al.,2009
Ilex	cornuta	NA	-	0.66	Zhang et al.,2013
Ilex	mucronata	NA	-	1.1	Bai et al.,2012
Ilex	paraguariensis	NA	2	1.1	Barral et al.,1995
Ilex	aquifolium	NA	2	1.2	Mowforth and Grime,1989
Ilex	verticillata	NA	-	2.07	Bai et al.,2012
Ilex	argentina	NA	4	2.1	Barral et al.,1995
Impatiens	pallida	NA	-	0.4	Bai et al.,2012
Impatiens	capensis	NA	2	0.78	Day et al.,2012
Impatiens	glandulifera	NA	2	1.2	Mowforth and Grime,1989
Impatiens	balsamina	NA	2	1.4	Van't Hof,1965
Impatiens	parviflora	NA	4	1.91	Veselý et al.,2013
Impatiens	parviflora	NA	2	2.13	Kubešová et al.,2010
Impatiens	omeiensis	NA	-	3.25	Veselý et al.,2012
Ipomoea	quamoclit	NA	-	0.63	Veselý et al.,2012
Ipomoea	lacunosa	NA	2	0.8	Ozias-Akins & Jarret,1994
Ipomoea	triloba	NA	2	0.8	Ozias-Akins & Jarret,1994
Ipomoea	pedatisecta	NA	2	0.8	Ozias-Akins & Jarret,1994
Ipomoea	cordato-triloba	NA	2	0.8	Ozias-Akins & Jarret,1994
Ipomoea	stolonifera	NA	-	0.82	Bou Dagher-Kharrat et al.,2013
Ipomoea	umbraticola	NA	2	0.9	Ozias-Akins & Jarret,1994
Ipomoea	ramosissima	NA	2	0.9	Ozias-Akins & Jarret,1994
Ipomoea	cynanchifolia	NA	2	0.9	Ozias-Akins & Jarret,1994
Ipomoea	trifida	NA	2	0.9	Ozias-Akins & Jarret,1994
Ipomoea	tenuissima	NA	2	0.9	Ozias-Akins & Jarret,1994
Ipomoea	aquatica	NA	2	1	Bennett et al.,1998
Ipomoea	wrightii	NA	2	1	Ozias-Akins & Jarret,1994
Ipomoea	purpurea	NA	2	1	Ozias-Akins & Jarret,1994
Ipomoea	pes-tigridus	NA	2	1	Ozias-Akins & Jarret,1994
Ipomoea	nil	NA	2	1.2	Ozias-Akins & Jarret,1994
Ipomoea	littoralis	NA	2	1.2	Ozias-Akins & Jarret,1994
Ipomoea	obscura	NA	2	1.3	Ozias-Akins & Jarret,1994
Ipomoea	tabascana	NA	4	1.3	Ozias-Akins & Jarret,1994
Ipomoea	sagittata	NA	2	1.4	Ozias-Akins & Jarret,1994
Ipomoea	muelleri	NA	2	1.4	Ozias-Akins & Jarret,1994
Ipomoea	batatas	NA	4	1.5	Ozias-Akins & Jarret,1994
Ipomoea	argillicola	NA	4	1.5	Ozias-Akins & Jarret,1994
Ipomoea	cordato-triloba	NA	4	1.7	Ozias-Akins & Jarret,1994
Ipomoea	saintronanensis	NA	4	1.7	Ozias-Akins & Jarret,1994
Ipomoea	tiliacea	NA	4	2	Ozias-Akins & Jarret,1994
Ipomoea	batatas	NA	6	2.3	Ozias-Akins & Jarret,1994
Isatis	indigotica	NA	-	0.46	Zhang et al.,2013
Isatis	tinctoria	NA	-	0.58	Lysák et al.,2009
Isatis	indigotica	NA	-	0.46	Zhang et al.,2013
Isatis	tinctoria	NA	-	0.58	Lysák et al.,2009
Isoetes	engelmanii	NA	-	1.75	Wang et al.,2005
Isoetes	lacustris	NA	-	11.97	Hanson and Leitch,2002
Jacaranda	micrantha	NA	2	0.57	Collevatti & Dornelas,2016
Jacaranda	mimosifolia	NA	2	0.58	Collevatti & Dornelas,2016
Jacaranda	cuspidifolia	NA	-	1.3	Ohri et al.,2004
Jatropha	podagrica	NA	-	0.3	Veselý et al.,2012
Jatropha	curcas	NA	2	0.43	Carvalho et al.,2008
Juglans	regia	NA	-	0.64	Pustahija et al.,2013
Kernera	saxatilis	NA	2	0.2	Lysák et al.,2009
Klebsormidium	flaccidum	NA	-	0.14	Mazalová et al.,2011
Klebsormidium	nitens	NA	-	0.28	Kapraun,2007
Kokia	drynarioides	NA	2	0.6	Wendel et al.,1999
Lactuca	capensis		2	1.01	Doležalová et al.,2002
Lactuca	palmensis		2	1.03	Suda et al.,2003
Lactuca	tenerrima		2	1.18	Doležalová et al.,2002
Lactuca	taraxacifolia		2	1.54	Doležalová et al.,2002
Lactuca	triquetra		-	2.05	Bou Dagher-Kharrat et al.,2013
Lactuca	viminea	subsp. chondrilliflora  (Boreau) Bonnier	2	2.29	Doležalová et al.,2002
Lactuca	perennis		2	2.31	Pustahija et al.,2013
Lactuca	saligna		2	2.38	Doležalová et al.,2002
Lactuca	serriola		-	2.66	Garcia et al.,2013
Lactuca	aculeata		2	2.75	Doležalová et al.,2002
Lactuca	alpina		2	2.98	Doležalová et al.,2002
Lactuca	dregeana		2	3.03	Doležalová et al.,2002
Lactuca	livida		2	3.07	Doležalová et al.,2002
Lactuca	altaica		2	3.09	Doležalová et al.,2002
Lactuca	denticulata		2	3.17	Doležalová et al.,2002
Lactuca	dentata		2	3.2	Doležalová et al.,2002
Lactuca	squarrosa		2	3.26	Doležalová et al.,2002
Lactuca	angustana		2	3.27	Doležalová et al.,2002
Lactuca	sativa		-	3.31	Barow & Meister,2003
Lactuca	virosa	var. virosa	2	3.76	Doležalová et al.,2002
Lactuca	sibirica		-	4.24	Doležalová et al.,2002
Lactuca	quercina		2	4.36	Doležalová et al.,2002
Lactuca	tatarica		2	4.61	Doležalová et al.,2002
Lactuca	homblei		2	4.88	Doležalová et al.,2002
Lactuca	indica		2	5.94	Doležalová et al.,2002
Lactuca	biennis		4	8.17	Doležalová et al.,2002
Lactuca	canadensis		4	8.98	Doležalová et al.,2002
Lactuca	floridana		-	10.6	Bai et al.,2012
Lagenaria	siceraria	NA	2	0.34	Achigan-Dako et al.,2008
Lagenaria	vulgaris	NA	2	0.7	Ingle et al.,1975
Larix	decidua		2	11.45	Greilhuber,1986
Larix	laricina		-	12.23	Sonnier,2016
Larix	sibirica		2	12.3	Ohri and Khoshoo,1986
Larix	gmelinii	ssp. olgensis	-	12.85	Zonneveld,2012
Larix	kaempferi		-	13.2	Zonneveld,2012
Larix	griffithii		-	13.4	Zonneveld,2012
Larix	x eurolepis		2	15.4	Ohri and Khoshoo,1986
Lathyrus	miniatus		2	3.4	Narayan,1982
Lathyrus	angulatus		2	4.5	Evans et al.,1972
Lathyrus	pratensis		2	4.54	Vidic et al.,2009
Lathyrus	amphicarpos		2	4.8	Bennett and Smith,1976
Lathyrus	ciliolatus		2	4.9	Kenton and Owens,1988
Lathyrus	basalticus		2	5.1	Nandini et al.,1997
Lathyrus	setifolius		2	5.2	Bennett and Smith,1976
Lathyrus	inconspicuus		2	5.2	Bennett and Smith,1976
Lathyrus	vernus		-	5.24	Veselý et al.,2012
Lathyrus	gorgoni		2	5.8	Nandini et al.,1997
Lathyrus	venetus		-	5.81	Veselý et al.,2012
Lathyrus	pratensis		4	5.95	Temsch et al.,2010
Lathyrus	aureus		-	5.98	Veselý et al.,2012
Lathyrus	clymenum		2	6	Bennett and Smith,1976
Lathyrus	armenius		2	6	Kenton and Owens,1988
Lathyrus	pseudo-cicera		2	6.1	Nandini et al.,1997
Lathyrus	incurvus		2	6.1	Kenton and Owens,1988
Lathyrus	articulatus		2	6.1	Narayan,1982
Lathyrus	crassipes		2	6.25	Chalup et al.,2014
Lathyrus	nissolia		2	6.5	Narayan,1982
Lathyrus	chloranthus		2	6.5	Nandini et al.,1997
Lathyrus	hirticarpus		2	6.6	Nandini et al.,1997
Lathyrus	maritimus		2	6.6	Narayan,1982
Lathyrus	blepharicarpus		2	6.7	Nandini et al.,1997
Lathyrus	ochrus		2	6.8	Narayan,1982
Lathyrus	sphaericus		2	6.9	Rees and Hazarika,1969
Lathyrus	aphaca		2	6.9	Rees and Hazarika,1969
Lathyrus	hierosolymitanus		2	7	Nandini et al.,1997
Lathyrus	cicera		2	7	Rees and Hazarika,1969
Lathyrus	annuus		2	7.3	Rees and Hazarika,1969
Lathyrus	subulatus		2	7.41	Chalup et al.,2014
Lathyrus	cassius		2	7.5	Kenton and Owens,1988
Lathyrus	spathulatus		2	7.6	Kenton and Owens,1988
Lathyrus	belinensis		2	7.7	Nandini et al.,1997
Lathyrus	odoratus	cv. Dorothy Eckford	2	7.8	Murray et al.,1992
Lathyrus	mulkak		2	7.8	Nandini et al.,1997
Lathyrus	macropus		2	7.82	Chalup et al.,2014
Lathyrus	paranensis		2	7.85	Chalup et al.,2014
Lathyrus	montanus		2	8.3	Rees and Hazarika,1969
Lathyrus	digitatus		2	8.3	Kenton and Owens,1988
Lathyrus	niger		2	8.4	Rees and Hazarika,1969
Lathyrus	sativus		2	8.4	Narayan,1982
Lathyrus	latifolius		2	8.56	Pustahija et al.,2013
Lathyrus	nervosus		2	8.6	Chalup et al.,2014
Lathyrus	pubescens		2	8.64	Chalup et al.,2014
Lathyrus	macrostachys		2	8.66	Chalup et al.,2014
Lathyrus	tomentosus		2	8.67	Chalup et al.,2014
Lathyrus	megalanthus		2	8.79	Pustahija et al.,2013
Lathyrus	gmelinii		2	8.97	Unal et al.,1995
Lathyrus	nitens		2	9.01	Chalup et al.,2014
Lathyrus	tingitanus		2	9.1	Evans et al.,1972
Lathyrus	magellanicus	var. magellanicus	2	9.19	Chalup et al.,2014
Lathyrus	heterophyllus		2	9.2	Nandini et al.,1997
Lathyrus	grandiflorus		2	9.3	Nandini et al.,1997
Lathyrus	tuberosus		2	9.3	Rees and Hazarika,1969
Lathyrus	laxiflorus		2	9.6	Kenton and Owens,1988
Lathyrus	hirsutus		2	10	Narayan,1982
Lathyrus	giganteus		2	10.1	Nandini et al.,1997
Lathyrus	multiceps		2	10.34	Chalup et al.,2014
Lathyrus	pannonicus		2	10.4	Pustahija et al.,2013
Lathyrus	chrysanthus		2	10.5	Kenton and Owens,1988
Lathyrus	hasslerianus		2	10.57	Chalup et al.,2014
Lathyrus	cabrerianus		2	10.66	Chalup et al.,2014
Lathyrus	cirrhosus		2	11	Nandini et al.,1997
Lathyrus	laevigatus		2	11.23	Unal et al.,1995
Lathyrus	sylvestris		2	11.5	Rees and Hazarika,1969
Lathyrus	vestitus		2	14.6	Narayan,1982
Leersia	oryzoides	NA	-	0.92	Bai et al.,2012
Leersia	virginica	NA	-	1.1	Bai et al.,2012
Lepidium	densiflorum	NA	4	0.33	Kubešová et al.,2010
Lepidium	virginicum	NA	4	0.33	Johnston et al.,2005
Lepidium	apetalum	NA	4	0.37	Lysák et al.,2009
Lepidium	sativum	NA	3	0.58	Johnston et al.,2005
Lepidium	sisymbrioides	NA	8	0.64	Soza et al.,2014
Lepidium	tenuicaule	NA	8	0.66	Soza et al.,2014
Lepidium	latifolium	NA	-	1.04	Lysák et al.,2009
Lepidium	naufragorum	NA	18	1.41	Soza et al.,2014
Linum	bienne	NA	-	0.59	Pustahija et al.,2013
Linum	usitatissimum	NA	2	0.7	Evans et al.,1972
Linum	capitatum	NA	-	1.76	Siljak-Yakovlev et al.,2010
Linum	sulcatum	NA	-	2.04	Bai et al.,2012
Linum	tenuifolium	NA	-	2.61	Pustahija et al.,2013
Liriodendron	tulipifera	NA	-	1.84	Liang et al.,2007
Litchi	chinensis	NA	-	0.7	Ohri and Kumar,1986
Lithospermum	canescens	NA	-	0.55	Sonnier,2016
Lithospermum	incisum	NA	-	0.57	Sonnier,2016
Lithospermum	officinale	NA	-	0.76	Pustahija et al.,2013
Lithospermum	latifolium	NA	-	1.11	Bai et al.,2012
Litsea	glutinosa	NA	-	2.82	Ohri,2002
Lolium	canariense		2	2.1	Hutchinson et al.,1979
Lolium	italicum	(L. multiflorum)	2	2.2	Rees and Jones,1967
Lolium	multiflorum	'Prolog'	2	2.63	Kopecky et al.,2010
Lolium	perenne	'Handicap'	2	2.68	Kopecky et al.,2010
Lolium	rigidum		2	2.75	Smarda et al.,2008
Lolium	loliaceum		2	2.8	Hutchinson et al.,1979
Lolium	temulentum		2	2.86	Smarda et al.,2008
Lolium	remotum		2	3	Hutchinson et al.,1979
Lolium	persicum		2	3.2	Hutchinson et al.,1979
Lolium	multiflorum	'Lubina'	4	5.5	Kopecky et al.,2010
Lolium	perenne	'Korok'	4	5.6	Kopecky et al.,2010
Lonicera	caprifolium		2	0.5	Pustahija et al.,2013
Lonicera	nigra		2	0.7	Olszewska and Osiecka,1984
Lonicera	japonica		-	0.72	Zhang et al.,2013
Lonicera	korolkowii		2	0.75	Fridley & Craddock.,2015
Lonicera	xylosteum		2	0.7	Olszewska and Osiecka,1984
Lonicera	maackii		2	0.79	Fridley & Craddock.,2015
Lonicera	ruprechtiana		2	0.84	Fridley & Craddock.,2015
Lonicera	tatarica		2	0.84	Fridley & Craddock.,2015
Lonicera	morrowii		2	0.86	Fridley & Craddock.,2015
Lonicera	x bella		-	0.86	Bai et al.,2012
Lonicera	fragrantissima		2	0.92	Fridley & Craddock.,2015
Lonicera	implexa		-	0.94	Vallès et al.,2014
Lonicera	nitida		-	0.95	Zonneveld et al.,2005
Lonicera	standishii		2	0.98	Fridley & Craddock.,2015
Lonicera	coerulea		-	1	Olszewska and Osiecka,1984
Lonicera	villosa		2	1.04	Fridley & Craddock.,2015
Lonicera	reticulata		-	1.05	Bai et al.,2012
Lonicera	hirsuta		2	1.16	Fridley & Craddock.,2015
Lonicera	canadensis		2	1.21	Fridley & Craddock.,2015
Lonicera	involucrata		2	1.24	Fridley & Craddock.,2015
Lonicera	oblongifolia		2	1.29	Fridley & Craddock.,2015
Lonicera	sempervirens		4	2.06	Fridley & Craddock.,2015
Lonicera	periclymenum	subsp. hispanica (Boiss. & Reuter) Nyman	-	2.81	Horjales et al.,2003
Lonicera	vesicaria		2	3.9	Olszewska and Osiecka,1984
Lotus	unifoliolatus		2	0.28	Tanaka et al.,2016
Lotus	angustissimus		2	0.31	Tanaka et al.,2016
Lotus	scoparius	var. scoparius	2	0.33	Tanaka et al.,2016
Lotus	denticulatus		2	0.35	Tanaka et al.,2016
Lotus	humistratus		2	0.36	Tanaka et al.,2016
Lotus	subpinnatus		2	0.38	Tanaka et al.,2016
Lotus	pedunculatus		2	0.39	Tanaka et al.,2016
Lotus	conjugatus		2	0.39	Tanaka et al.,2016
Lotus	weilleri		2	0.39	Tanaka et al.,2016
Lotus	heermannii		2	0.4	Tanaka et al.,2016
Lotus	uliginosus		2	0.42	Tanaka et al.,2016
Lotus	salsuginosus		2	0.44	Tanaka et al.,2016
Lotus	coimbrensis		2	0.5	Cheng and Grant,1973
Lotus	tenuis		2	0.45	Tanaka et al.,2016
Lotus	strigosus		2	0.46	Tanaka et al.,2016
Lotus	filicaulis		2	0.47	Tanaka et al.,2016
Lotus	alpinus		2	0.5	Borsos,1973
Lotus	maritimus		2	0.49	Tanaka et al.,2016
Lotus	japonicus		2	0.49	Tanaka et al.,2016
Lotus	borbasii		2	0.5	Cheng and Grant,1973
Lotus	schoelleri		2	0.5	Cheng and Grant,1973
Lotus	krylovii		2	0.5	Cheng and Grant,1973
Lotus	burttii		2	0.5	Borsos,1973
Lotus	peregrinus	var. carmeli (Boiss.) Ponert	2	0.57	Tanaka et al.,2016
Lotus	corniculatus	subsp. glacialis (Boiss.) Valdés	2	0.59	Loureiro et al.,2013
Lotus	dumetorum		2	0.61	Suda et al.,2003
Lotus	campylocladus		2	0.62	Suda et al.,2003
Lotus	glaucus		2	0.62	Suda et al.,2005
Lotus	wrightii		2	0.71	Tanaka et al.,2016
Lotus	palustris		2	0.8	Borsos,1973
Lotus	gebelia	var. libanoticus Boiss.	-	0.81	Bou Dagher-Kharrat et al.,2013
Lotus	subbiflorus		4	0.81	Tanaka et al.,2016
Lotus	corniculatus	subsp. corniculatus	3	0.82	Loureiro et al.,2013
Lotus	halophilus		4	0.89	Tanaka et al.,2016
Lotus	edulis		2	1.1	Borsos,1973
Lotus	arenarius		2	1.1	Borsos,1973
Lotus	corniculatus		4	1.19	Pustahija et al.,2013
Lotus	berthelotii		4	1.22	Suda et al.,2005
Lotus	glaucus		4	1.24	Suda et al.,2003
Lotus	mascaënsis		4	1.25	Suda et al.,2005
Lotus	sessilifolius		4	1.26	Suda et al.,2005
Lotus	australis		4	1.28	Tanaka et al.,2016
Lotus	ornithopoides		2	1.3	Borsos,1973
Lotus	requienii		2	1.3	Borsos,1973
Lotus	cytisoides		2	1.4	Borsos,1973
Luffa	cylindrica	NA	2	0.9	Bennett MD,  Smith JB, Heslop-Harrison,1982
Lunularia	cruciata	NA	-	0.67	Temsch et al.,2010
Lupinus	princei		2	0.49	Naganowska et al.,2003
Lupinus	micranthus		2	0.49	Naganowska et al.,2003
Lupinus	pusillus		-	0.54	Naganowska  et al.,2006
Lupinus	nanus		-	0.55	Naganowska  et al.,2006
Lupinus	graecus		2	0.57	Naganowska et al.,2003
Lupinus	concinnus		-	0.57	Naganowska  et al.,2006
Lupinus	microcarpus	var. densiflorus (Benth.) Jeps.	-	0.57	Naganowska  et al.,2006
Lupinus	vavilovi		2	0.57	Naganowska et al.,2003
Lupinus	termis		2	0.57	Naganowska et al.,2003
Lupinus	luteolus		-	0.59	Naganowska  et al.,2006
Lupinus	anatolicus		2	0.6	Obermayer et al.,1999
Lupinus	albus		-	0.6	Bennett and Smith,1976
Lupinus	pilosus		2	0.6	Obermayer et al.,1999
Lupinus	arizonicus		-	0.64	Naganowska  et al.,2006
Lupinus	digitatus		2	0.69	Naganowska et al.,2003
Lupinus	bandelierae		-	0.69	Naganowska  et al.,2006
Lupinus	palaestinus		2	0.7	Naganowska et al.,2003
Lupinus	argenteus	var. rubricaulis (Greene) S.L.Welsh	-	0.7	Naganowska  et al.,2006
Lupinus	arbustus		-	0.7	Naganowska  et al.,2006
Lupinus	garfieldensis		-	0.71	Naganowska  et al.,2006
Lupinus	cosentinii		2	0.71	Naganowska et al.,2003
Lupinus	linearis		-	0.71	Naganowska  et al.,2006
Lupinus	leucophyllus		-	0.71	Naganowska  et al.,2006
Lupinus	sericeus		-	0.72	Naganowska  et al.,2006
Lupinus	albifrons		-	0.74	Naganowska  et al.,2006
Lupinus	bracteolaris		-	0.78	Naganowska  et al.,2006
Lupinus	atlanticus		2	0.81	Naganowska et al.,2003
Lupinus	variicolor		-	0.84	Naganowska  et al.,2006
Lupinus	lepidus		-	0.85	Naganowska  et al.,2006
Lupinus	polyphyllus		-	0.85	Naganowska  et al.,2006
Lupinus	guaraniticus		-	0.87	Naganowska  et al.,2006
Lupinus	latifolius		-	0.87	Naganowska  et al.,2006
Lupinus	rivularis		-	0.88	Naganowska  et al.,2006
Lupinus	perennis		-	0.9	Bai et al.,2012
Lupinus	arboreus		-	0.9	Bennett and Smith,1976
Lupinus	semperflorens		-	0.9	Naganowska  et al.,2006
Lupinus	lanatus		-	0.91	Naganowska  et al.,2006
Lupinus	angustifolius	cv. Kubesa	2	0.9	Barlow,1981
Lupinus	cryptanthus		2	0.93	Naganowska et al.,2003
Lupinus	multiflorus		-	0.93	Naganowska  et al.,2006
Lupinus	magnistipulatus		-	0.94	Naganowska  et al.,2006
Lupinus	linifolius		2	0.94	Naganowska et al.,2003
Lupinus	mutabilis		2	0.95	Naganowska et al.,2003
Lupinus	reitzii		-	0.96	Naganowska  et al.,2006
Lupinus	luteus		-	1	Bennett and Smith,1976
Lupinus	mexicanus		-	1	Naganowska  et al.,2006
Lupinus	hispanicus	subsp. hispanicus  ""Badajoz-2""	2	1.1	Obermayer et al.,1999
Lupinus	texensis		-	1.22	Price et al.,2005
Lupinus	albicaulis		-	1.34	Naganowska  et al.,2006
Lycium	elongatum		2	1.61	Stiefkens & Bernardello,2000
Lycium	chilense	var. vergarae (Phil.) Bernardello	2	1.78	Stiefkens & Bernardello,2000
Lycium	infaustum		2	1.92	Stiefkens & Bernardello,2000
Lycium	barbarum		2	2.18	Chen et al.,2012
Lycium	pallidum		2	2.27	Chen et al.,2012
Lycium	ruthenicum		2	2.73	Chen et al.,2012
Lycium	chinense		2	3.22	Chen et al.,2012
Lycium	chilense	var. chilense	4	3.25	Stiefkens & Bernardello,2000
Lycium	fremontii		8	7.47	Chen et al.,2012
Macadamia	x tetraphylla	NA	2	1.14	Jordan,2016
Magnolia	kobus	var. borealis Sarg.	2	0.9	Olszewska and Osiecka,1984
Magnolia	grandiflora		-	4.53	Horjales et al.,2003
Magnolia	liliiflora		-	4.95	Zonneveld et al.,2005
Magnolia	soulangiana		4	6	Nagl et al.,1977
Malus	tschonoskii		2	0.62	Höfer and Meister,2010
Malus	yunnanensis		2	0.67	Höfer and Meister,2010
Malus	ombrophila		2	0.67	Höfer and Meister,2010
Malus	kansuensis		2	0.68	Höfer and Meister,2010
Malus	honanensis		2	0.69	Höfer and Meister,2010
Malus	prattii		2	0.7	Höfer and Meister,2010
Malus	baccata		2	0.72	Höfer and Meister,2010
Malus	x zumi		2	0.73	Höfer and Meister,2010
Malus	hupehensis		2	0.73	Höfer and Meister,2010
Malus	fusca		2	0.73	Höfer and Meister,2010
Malus	x dawsoniana		2	0.73	Höfer and Meister,2010
Malus	x hartwigii		2	0.74	Höfer and Meister,2010
Malus	x moerlandsii		2	0.74	Höfer and Meister,2010
Malus	x adstringensis		2	0.74	Höfer and Meister,2010
Malus	x purpurea		2	0.74	Höfer and Meister,2010
Malus	x domestica		2	0.75	Kron & Husband,2009
Malus	x robusta		2	0.75	Höfer and Meister,2010
Malus	zhaojiaoensis		2	0.75	Korban et al.,2009
Malus	x sublobata		2	0.75	Höfer and Meister,2010
Malus	x atrosanguinea		2	0.75	Höfer and Meister,2010
Malus	spectabilis		2	0.75	Höfer and Meister,2010
Malus	orientalis		2	0.75	Höfer and Meister,2010
Malus	x arnoldiana		2	0.75	Höfer and Meister,2010
Malus	sieversii		2	0.75	Höfer and Meister,2010
Malus	prunifolia		2	0.75	Höfer and Meister,2010
Malus	x asiatica		2	0.75	Höfer and Meister,2010
Malus	x scheideckeri		2	0.75	Höfer and Meister,2010
Malus	floribunda		2	0.75	Höfer and Meister,2010
Malus	x domestica		2	0.76	Höfer and Meister,2010
Malus	x micromalus		2	0.76	Höfer and Meister,2010
Malus	sieboldii		2	0.77	Höfer and Meister,2010
Malus	transitoria		2	0.77	Höfer and Meister,2010
Malus	pumila		2	0.77	Tatum et al.,2005
Malus	sylvestris		2	0.78	Pustahija et al.,2013
Malus	ioensis		2	0.78	Höfer and Meister,2010
Malus	x soulardii		2	0.78	Höfer and Meister,2010
Malus	asiatica		2	0.8	Korban et al.,2009
Malus	soulardii		2	0.81	Tatum et al.,2005
Malus	rockii		2	0.81	Tatum et al.,2005
Malus	'Golden Delicious'		2	0.81	Tatum et al.,2005
Malus	micromalus		2	0.82	Korban et al.,2009
Malus	trilobata		2	0.82	Höfer and Meister,2010
Malus	florentina		2	0.83	Höfer and Meister,2010
Malus	kirghisorum		2	0.85	Korban et al.,2009
Malus	hupehensis		3	1.06	Höfer and Meister,2010
Malus	sikkimensis		3	1.08	Höfer and Meister,2010
Malus	sieboldii		3	1.1	Höfer and Meister,2010
Malus	x zumi		3	1.1	Höfer and Meister,2010
Malus	toringoides		3	1.1	Höfer and Meister,2010
Malus	x adstring		3	1.1	Höfer and Meister,2010
Malus	spectabilis		3	1.1	Höfer and Meister,2010
Malus	halliana		3	1.1	Höfer and Meister,2010
Malus	komarovii		3	1.12	Höfer and Meister,2010
Malus	x domestica		3	1.14	Höfer and Meister,2010
Malus	sargentii		3	1.14	Höfer and Meister,2010
Malus	toringo	'Siebold'	3	1.21	Tatum et al.,2005
Malus	ioensis		3	1.21	Höfer and Meister,2010
Malus	coronaria		3	1.21	Höfer and Meister,2010
Malus	sikkimensis		4	1.43	Höfer and Meister,2010
Malus	sieboldii		4	1.44	Höfer and Meister,2010
Malus	komarovii		4	1.46	Höfer and Meister,2010
Malus	sargentii		4	1.46	Höfer and Meister,2010
Malus	toringoides		4	1.48	Höfer and Meister,2010
Malus	lancifolia		4	1.5	Höfer and Meister,2010
Malus	glaucescens		4	1.55	Höfer and Meister,2010
Malus	angustifolia		4	1.56	Höfer and Meister,2010
Malus	x platycarpa		4	1.58	Höfer and Meister,2010
Malus	coronaria		4	1.59	Höfer and Meister,2010
Malus	x heterophylla		4	1.6	Höfer and Meister,2010
Malus	sikkimensis		5	1.77	Höfer and Meister,2010
Malus	sargentii		5	1.94	Höfer and Meister,2010
Malus	sargentii		5	2.14	Höfer and Meister,2010
Malus	communis		2	2.3	Marie & Brown,1993
Mangifera	indica	NA	4	0.46	Arumuganathan and Earle,1991
Manihot	esculenta	NA	2	0.8	Awoleye et al.,1994
Marchantia	polymorpha	NA	-	0.29	Temsch et al.,2010
Marchantia	chenopoda	NA	-	0.65	Bainard et al.,2013
Medicago	truncatula		2	0.47	Arumuganathan and Earle,1991
Medicago	orbicularis		2	0.48	Fyad-Lameche et al.,2016
Medicago	scutellata		4	0.56	Fyad-Lameche et al.,2016
Medicago	polymorpha		2	0.56	Fyad-Lameche et al.,2016
Medicago	littoralis x truncatula		-	0.56	Fyad-Lameche et al.,2016
Medicago	minima		2	0.58	Fyad-Lameche et al.,2016
Medicago	arabica		2	0.61	Fyad-Lameche et al.,2016
